Target                                                           RMSD   GDT-TS   GDT-HA
   1                                              tag0001.al.pdb   1.6780   0.8500   0.6808
   2                                              tag0002.al.pdb   2.0560   0.8596   0.6923
   3                                              tag0003.al.pdb   2.8950   0.8115   0.6538
   4                                              tag0004.al.pdb   1.5600   0.8865   0.7212
   5                                              tag0005.al.pdb   4.9600   0.7538   0.5808
   6                                              tag0006.al.pdb   1.2900   0.8827   0.7365
   7                                              tag0007.al.pdb   4.8970   0.7558   0.6019
   8                                              tag0008.al.pdb   1.8080   0.9115   0.7596
   9                                              tag0009.al.pdb   2.1770   0.8404   0.6615
  10                                              tag0010.al.pdb   1.5970   0.8538   0.6750
  11                                              tag0021.al.pdb   5.8530   0.7000   0.5288
  12                                              tag0022.al.pdb   8.1150   0.7115   0.5327
  13                                              tag0023.al.pdb   8.6740   0.6942   0.5346
  14                                              tag0024.al.pdb   6.4140   0.7115   0.5327
  15                                              tag0026.al.pdb   8.7530   0.7538   0.5942
  16                                              tag0027.al.pdb   6.4380   0.7269   0.5596
  17                                              tag0028.al.pdb   6.4750   0.7000   0.5231
  18                                              tag0030.al.pdb   6.7500   0.7135   0.5346
  19                                              tag0032.al.pdb  15.2680   0.6346   0.4712
  20                                              tag0033.al.pdb   9.2980   0.6173   0.4577
  21                                              tag0036.al.pdb   7.8550   0.6327   0.4462
  22                                              tag0038.al.pdb   9.5450   0.6481   0.4865
  23                                              tag0101.al.pdb   6.5900   0.6269   0.4519
  24                                              tag0104.al.pdb   7.0520   0.6423   0.4712
  25                                              tag0109.al.pdb   6.8730   0.6500   0.5000
  26                                              tag0110.al.pdb   5.4020   0.6596   0.4692
  27                                              tag0118.al.pdb   4.2710   0.6981   0.5327
  28                                              tag0126.al.pdb   9.9810   0.5308   0.3462
  29                                              tag0131.al.pdb   8.1290   0.5846   0.3942
  30                                              tag0134.al.pdb   9.0570   0.5942   0.4115
  31                                              tag0136.al.pdb   8.3720   0.5173   0.3442
  32                                              tag0140.al.pdb   8.7940   0.5827   0.4115
  33                                              tag0158.al.pdb   9.0860   0.5423   0.3519
  34                                              tag0171.al.pdb  20.2260   0.3135   0.2019
  35                                              tag0172.al.pdb  16.0680   0.2596   0.1827
  36                                              tag0173.al.pdb  16.9280   0.3096   0.1962
  37                                              tag0174.al.pdb  16.8900   0.2596   0.1577
  38                                              tag0175.al.pdb  11.6280   0.3096   0.2115
  39                                              tag0177.al.pdb  15.4680   0.2212   0.1423
  40                                              tag0178.al.pdb  14.5390   0.2250   0.1442
  41                                              tag0180.al.pdb  15.8030   0.2635   0.1635
  42                                              tag0194.al.pdb   7.8890   0.7288   0.5865
  43                                              tag0197.al.pdb   4.2190   0.7212   0.5385
  44                                              tag0200.al.pdb   7.5770   0.7135   0.5558
  45                                              tag0201.al.pdb   7.5260   0.6769   0.4942
  46                                              tag0203.al.pdb   6.0020   0.6808   0.5212
  47                                              tag0206.al.pdb   5.7750   0.7000   0.5308
  48                                              tag0213.al.pdb   5.7040   0.6769   0.4904
  49                                              tag0215.al.pdb   7.0660   0.6615   0.4827
  50                                              tag0221.al.pdb  15.3770   0.2904   0.1769
  51                                              tag0224.al.pdb  17.0380   0.2769   0.1827
  52                                              tag0225.al.pdb  15.5430   0.2385   0.1558
  53                                              tag0226.al.pdb  13.9290   0.1942   0.1365
  54                                              tag0227.al.pdb  15.9320   0.2212   0.1577
  55                                              tag0228.al.pdb  12.6110   0.2692   0.1558
  56                                              tag0229.al.pdb  15.0080   0.2712   0.1788
  57                                              tag0251.al.pdb   7.3090   0.6212   0.4385
  58                                              tag0252.al.pdb   7.4180   0.5904   0.4000
  59                                              tag0254.al.pdb   5.2670   0.6038   0.4077
  60                                              tag0266.al.pdb   9.5970   0.6481   0.4750
  61                                              tag0283.al.pdb  11.4250   0.4077   0.2673
  62                                              tag0294.al.pdb   4.8100   0.6135   0.4154
  63                                              tag0298.al.pdb   6.7620   0.6096   0.4308
  64                                              tag0299.al.pdb   8.3900   0.6038   0.4173
  65                                              tag0300.al.pdb   6.3580   0.5769   0.3827
  66                                              tag0311.al.pdb   7.1120   0.5192   0.3404
  67                                              tag0312.al.pdb   7.5710   0.5173   0.3346
  68                                              tag0323.al.pdb   7.5300   0.5692   0.3923
  69                                              tag0324.al.pdb   4.6540   0.6231   0.4442
  70                                              tag0339.al.pdb   6.6670   0.5923   0.4385
  71                                              tag0340.al.pdb   6.4440   0.5288   0.3538
  72                                              tag0382.al.pdb  17.9120   0.3231   0.2212
  73                                              tag0384.al.pdb  15.5980   0.3192   0.2212
